Crop,Symptoms,Disease,Severity
Cotton,"Yellow leaves, Wilting stems",Wilt,Critical
Groundnut,"Rusty orange pustules, Root rot",Rust,Critical
Cotton,"Water-soaked patches, Black lesions, Rusty orange pustules",Bacterial Blight,Low
Grapes,"Fruit discoloration, White powder on leaves, Stunted growth",Powdery Mildew,High
Potato,"Wilting stems, Water-soaked patches, Black lesions",Late Blight,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,High
Rice,"Water-soaked patches, Yellow leaves, Wilting stems",Bacterial Blight,Critical
Mango,Black lesions,Anthracnose,Critical
Cotton,Water-soaked patches,Bacterial Blight,Critical
Rice,"Yellow leaves, Wilting stems, Water-soaked patches, Brown spots on leaves",Bacterial Blight,Low
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Low
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Low
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Critical
Maize,"Rusty orange pustules, Black lesions",Common Rust,Critical
Soybean,"Stunted growth, Root rot, Black lesions",Root Rot,High
Potato,"Brown spots on leaves, Premature fruit drop",Early Blight,Low
Sugarcane,Rusty orange pustules,Rust,Medium
Wheat,Yellow leaves,Leaf Rust,Critical
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Groundnut,"Brown spots on leaves, Premature fruit drop",Leaf Spot,Medium
Groundnut,Yellow leaves,Leaf Spot,High
Grapes,White powder on leaves,Downy Mildew,Low
Cotton,"Black lesions, Brown spots on leaves",Bacterial Blight,Medium
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Medium
Tomato,Water-soaked patches,Late Blight,Medium
Cotton,"Water-soaked patches, Black lesions",Bacterial Blight,Low
Rice,Stunted growth,Blast,Low
Cotton,"Black lesions, Water-soaked patches",Bacterial Blight,High
Banana,"Root rot, Wilting stems, Yellow leaves, Black lesions",Panama Disease,Medium
Tomato,"Yellow leaves, Stunted growth",Leaf Curl,Critical
Banana,Root rot,Panama Disease,High
Maize,Black lesions,Leaf Blight,High
Maize,"Yellow leaves, Fruit discoloration",Leaf Blight,Low
Maize,"Yellow leaves, Wilting stems, Black lesions",Leaf Blight,Medium
Cotton,"Stunted growth, Yellow leaves, Wilting stems",Wilt,Critical
Banana,Yellow leaves,Panama Disease,Critical
Tomato,Black lesions,Late Blight,Critical
Mango,"Fruit discoloration, Black lesions, Brown spots on leaves",Anthracnose,High
Groundnut,Rusty orange pustules,Rust,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Cotton,"Wilting stems, Stunted growth",Wilt,High
Banana,"Yellow leaves, Wilting stems",Panama Disease,Low
Potato,"Water-soaked patches, Yellow leaves",Late Blight,Medium
Cotton,"Black lesions, Premature fruit drop, Water-soaked patches",Bacterial Blight,High
Tomato,"Leaf curl, Stunted growth, Yellow leaves",Leaf Curl,High
Cotton,"Stunted growth, Wilting stems",Wilt,Medium
Sugarcane,Stunted growth,Red Rot,Critical
Tomato,"Yellow leaves, Stunted growth, Leaf curl",Leaf Curl,Low
Cotton,"Premature fruit drop, Black lesions",Bacterial Blight,Critical
Soybean,"Rusty orange pustules, Premature fruit drop",Rust,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Critical
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,Low
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Critical
Wheat,"Root rot, Stunted growth, Rusty orange pustules",Root Rot,Critical
Banana,"Black lesions, Premature fruit drop",Black Sigatoka,Medium
Rice,"Stunted growth, Black lesions, Brown spots on leaves",Blast,Critical
Potato,Black lesions,Late Blight,Low
Groundnut,"Premature fruit drop, Brown spots on leaves",Leaf Spot,Critical
Sugarcane,Wilting stems,Red Rot,Critical
Grapes,"White powder on leaves, Stunted growth",Powdery Mildew,High
Sugarcane,Brown spots on leaves,Rust,Critical
Potato,Water-soaked patches,Late Blight,Critical
Mango,"Fruit discoloration, Premature fruit drop, Black lesions",Anthracnose,Low
Grapes,"Stunted growth, Fruit discoloration",Powdery Mildew,High
Sugarcane,"Wilting stems, Stunted growth",Red Rot,Critical
Groundnut,Rusty orange pustules,Rust,Low
Tomato,"Premature fruit drop, Yellow leaves",Early Blight,Low
Grapes,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Wheat,"Stunted growth, Yellow leaves",Root Rot,Medium
Soybean,"Rusty orange pustules, Premature fruit drop",Rust,Critical
Sugarcane,"Rusty orange pustules, Brown spots on leaves, Stunted growth",Rust,Low
Grapes,"Stunted growth, Fruit discoloration",Powdery Mildew,Low
Wheat,"Root rot, Stunted growth, Yellow leaves",Root Rot,High
Maize,Rusty orange pustules,Common Rust,Low
Soybean,Root rot,Root Rot,Low
Banana,Brown spots on leaves,Black Sigatoka,Medium
Grapes,"Stunted growth, White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Sugarcane,"Rusty orange pustules, Brown spots on leaves, Leaf curl",Rust,Medium
Tomato,"Water-soaked patches, Root rot",Late Blight,Low
Rice,Yellow leaves,Bacterial Blight,Medium
Wheat,Yellow leaves,Root Rot,Critical
Soybean,"Yellow leaves, Rusty orange pustules",Rust,Critical
Sugarcane,"Wilting stems, Root rot",Red Rot,Medium
Rice,"Wilting stems, Water-soaked patches, Yellow leaves",Bacterial Blight,Medium
Wheat,"Yellow leaves, Stunted growth, Black lesions",Root Rot,Critical
Potato,"Black lesions, Stunted growth",Black Scurf,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,High
Banana,"Brown spots on leaves, Water-soaked patches",Black Sigatoka,Critical
Sugarcane,"Stunted growth, Wilting stems, Yellow leaves, White powder on leaves",Red Rot,High
Tomato,"Leaf curl, Yellow leaves, Root rot",Leaf Curl,Critical
Potato,Black lesions,Late Blight,Low
Tomato,"Stunted growth, Yellow leaves, Leaf curl",Leaf Curl,Low
Soybean,"Wilting stems, Root rot, Stunted growth",Root Rot,High
Cotton,"Premature fruit drop, Rusty orange pustules",Bacterial Blight,Medium
Banana,"Wilting stems, Root rot, Yellow leaves",Panama Disease,Low
Wheat,"Rusty orange pustules, Wilting stems",Leaf Rust,Medium
Maize,Rusty orange pustules,Common Rust,Low
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Medium
Mango,"Fruit discoloration, Premature fruit drop",Anthracnose,Medium
Potato,Yellow leaves,Early Blight,Medium
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Critical
Rice,"Water-soaked patches, Wilting stems",Bacterial Blight,Medium
Soybean,"Yellow leaves, Premature fruit drop",Rust,High
Sugarcane,"Brown spots on leaves, Fruit discoloration",Rust,Medium
Maize,Rusty orange pustules,Common Rust,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Banana,"Yellow leaves, Root rot",Panama Disease,Medium
Tomato,"Fruit discoloration, Black lesions",Late Blight,Critical
Banana,"Black lesions, Brown spots on leaves, Premature fruit drop",Black Sigatoka,Medium
Groundnut,"Premature fruit drop, Brown spots on leaves",Leaf Spot,Medium
Potato,"Black lesions, Stunted growth",Black Scurf,Medium
Rice,Yellow leaves,Brown Spot,Low
Soybean,"Rusty orange pustules, Yellow leaves",Rust,High
Soybean,"Wilting stems, Stunted growth, Root rot, Fruit discoloration",Root Rot,Medium
Potato,Stunted growth,Black Scurf,Low
Maize,"Black lesions, Leaf curl",Leaf Blight,Critical
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,Medium
Tomato,Fruit discoloration,Late Blight,Critical
Mango,"Black lesions, Wilting stems",Anthracnose,Medium
Potato,"Brown spots on leaves, Yellow leaves, White powder on leaves",Early Blight,Critical
Wheat,"Yellow leaves, Black lesions",Leaf Rust,Critical
Groundnut,Brown spots on leaves,Leaf Spot,Low
Banana,Yellow leaves,Panama Disease,Low
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,High
Cotton,"Wilting stems, Yellow leaves",Wilt,Critical
Mango,"Fruit discoloration, Black lesions, Leaf curl",Anthracnose,Medium
Rice,Brown spots on leaves,Blast,Medium
Cotton,"Stunted growth, Yellow leaves, Wilting stems",Wilt,Low
Banana,Premature fruit drop,Black Sigatoka,Low
Grapes,"White powder on leaves, Yellow leaves, Premature fruit drop",Downy Mildew,Low
Cotton,"Stunted growth, Wilting stems",Wilt,High
Mango,"Black lesions, Premature fruit drop, Fruit discoloration",Anthracnose,Low
Potato,"Black lesions, Stunted growth",Black Scurf,Critical
Banana,Yellow leaves,Panama Disease,Low
Wheat,Rusty orange pustules,Leaf Rust,High
Sugarcane,Brown spots on leaves,Rust,Low
Banana,"Root rot, Wilting stems, Yellow leaves",Panama Disease,High
Tomato,"Leaf curl, Stunted growth, Yellow leaves",Leaf Curl,Critical
Banana,Black lesions,Black Sigatoka,High
Wheat,Yellow leaves,Powdery Mildew,Medium
Grapes,"Fruit discoloration, White powder on leaves, Stunted growth",Powdery Mildew,Low
Potato,"Wilting stems, Water-soaked patches, Black lesions",Late Blight,High
Cotton,"Premature fruit drop, Water-soaked patches, Black lesions",Bacterial Blight,Critical
Cotton,"Water-soaked patches, Black lesions",Bacterial Blight,Medium
Mango,White powder on leaves,Powdery Mildew,High
Soybean,"Premature fruit drop, Yellow leaves",Rust,Medium
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Grapes,"Stunted growth, White powder on leaves, Fruit discoloration",Powdery Mildew,Critical
Potato,Black lesions,Black Scurf,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules, Stunted growth",Rust,High
Grapes,"Stunted growth, Fruit discoloration, White powder on leaves, Yellow leaves",Powdery Mildew,High
Groundnut,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Leaf Spot,Medium
Tomato,"Brown spots on leaves, Premature fruit drop, Yellow leaves",Early Blight,Low
Banana,"Wilting stems, Yellow leaves",Panama Disease,Low
Cotton,"Wilting stems, Premature fruit drop",Wilt,High
Mango,Fruit discoloration,Powdery Mildew,Low
Tomato,"Black lesions, Water-soaked patches",Late Blight,Critical
Grapes,"Stunted growth, Fruit discoloration",Powdery Mildew,Critical
Cotton,"Water-soaked patches, Leaf curl",Bacterial Blight,Medium
Rice,"Brown spots on leaves, Stunted growth, Black lesions",Blast,Low
Mango,"Fruit discoloration, Premature fruit drop",Anthracnose,Medium
Wheat,Rusty orange pustules,Leaf Rust,Low
Sugarcane,Rusty orange pustules,Rust,Medium
Banana,Root rot,Panama Disease,Low
Soybean,"Root rot, Stunted growth, White powder on leaves",Root Rot,Medium
Wheat,"Root rot, Yellow leaves",Root Rot,High
Cotton,"Premature fruit drop, Water-soaked patches",Bacterial Blight,Low
Soybean,"Stunted growth, Wilting stems, Root rot",Root Rot,High
Soybean,"Stunted growth, Root rot, Wilting stems",Root Rot,Low
Tomato,Brown spots on leaves,Early Blight,Medium
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Critical
Wheat,"Stunted growth, Yellow leaves",Root Rot,Medium
Sugarcane,Brown spots on leaves,Rust,Medium
Soybean,Premature fruit drop,Rust,Medium
Grapes,"Premature fruit drop, Yellow leaves, White powder on leaves",Downy Mildew,High
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Low
Banana,Brown spots on leaves,Black Sigatoka,High
Cotton,Wilting stems,Wilt,Low
Sugarcane,"Wilting stems, Stunted growth",Red Rot,High
Mango,Fruit discoloration,Powdery Mildew,High
Soybean,"Root rot, Stunted growth, Wilting stems",Root Rot,Critical
Maize,"Yellow leaves, Wilting stems, Black lesions",Leaf Blight,High
Rice,"Brown spots on leaves, Black lesions, Stunted growth, Leaf curl",Blast,Low
Grapes,"Yellow leaves, White powder on leaves, Premature fruit drop",Downy Mildew,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Low
Potato,"Brown spots on leaves, Yellow leaves, Stunted growth",Early Blight,Low
Maize,Brown spots on leaves,Common Rust,Critical
Rice,"Yellow leaves, Water-soaked patches, Wilting stems",Bacterial Blight,Low
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,High
Tomato,"Yellow leaves, Leaf curl, Stunted growth",Leaf Curl,Medium
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Critical
Groundnut,Premature fruit drop,Rust,High
Banana,"Yellow leaves, Wilting stems, Root rot",Panama Disease,High
Tomato,"Premature fruit drop, Yellow leaves, Brown spots on leaves",Early Blight,Low
Groundnut,"Premature fruit drop, Leaf curl",Rust,High
Potato,Brown spots on leaves,Early Blight,Medium
Sugarcane,Rusty orange pustules,Rust,Medium
Wheat,"Root rot, Stunted growth, Yellow leaves",Root Rot,Low
Maize,Wilting stems,Leaf Blight,High
Cotton,Stunted growth,Wilt,Low
Groundnut,Rusty orange pustules,Rust,Critical
Rice,"Water-soaked patches, Yellow leaves, Wilting stems",Bacterial Blight,Medium
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Critical
Banana,Brown spots on leaves,Black Sigatoka,Critical
Banana,"Wilting stems, Root rot, Brown spots on leaves",Panama Disease,Low
Maize,"Rusty orange pustules, Brown spots on leaves, Root rot",Common Rust,Critical
Mango,"Fruit discoloration, Premature fruit drop",Anthracnose,Low
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,Low
Potato,Stunted growth,Black Scurf,Low
Grapes,Stunted growth,Powdery Mildew,Medium
Tomato,"Yellow leaves, Black lesions",Early Blight,Medium
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,High
Grapes,Fruit discoloration,Powdery Mildew,Low
Soybean,"Root rot, Wilting stems, Stunted growth",Root Rot,High
Cotton,Yellow leaves,Wilt,Medium
Rice,Yellow leaves,Brown Spot,Critical
Potato,Stunted growth,Black Scurf,Critical
Cotton,"Wilting stems, Stunted growth",Wilt,Medium
Cotton,"Yellow leaves, Stunted growth, Wilting stems",Wilt,Medium
Mango,"White powder on leaves, Water-soaked patches",Powdery Mildew,Low
Rice,"Black lesions, Brown spots on leaves, Stunted growth",Blast,Low
Soybean,"Stunted growth, Wilting stems",Root Rot,Medium
Soybean,Rusty orange pustules,Rust,High
Soybean,"Wilting stems, Root rot",Root Rot,Low
Groundnut,Rusty orange pustules,Rust,Medium
Potato,"Water-soaked patches, Wilting stems, Black lesions",Late Blight,Low
Maize,"Wilting stems, Yellow leaves, Black lesions",Leaf Blight,Medium
Maize,Rusty orange pustules,Common Rust,Low
Soybean,"Stunted growth, Wilting stems, Root rot",Root Rot,High
Grapes,"Yellow leaves, Premature fruit drop, White powder on leaves, Stunted growth",Downy Mildew,High
Rice,Stunted growth,Blast,High
Rice,Black lesions,Blast,Low
Banana,"Premature fruit drop, Brown spots on leaves, Black lesions, Rusty orange pustules",Black Sigatoka,High
Grapes,"Stunted growth, Fruit discoloration",Powdery Mildew,Low
Banana,"Yellow leaves, Wilting stems",Panama Disease,Low
Soybean,"Premature fruit drop, Yellow leaves, Rusty orange pustules",Rust,Medium
Groundnut,"Yellow leaves, Brown spots on leaves",Leaf Spot,Critical
Maize,Yellow leaves,Leaf Blight,High
Maize,Wilting stems,Leaf Blight,Medium
Maize,"Rusty orange pustules, Brown spots on leaves, White powder on leaves",Common Rust,Medium
Sugarcane,"Wilting stems, Black lesions",Red Rot,Critical
Banana,Premature fruit drop,Black Sigatoka,Low
Mango,"Fruit discoloration, Black lesions, Yellow leaves",Anthracnose,Low
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Low
Rice,"Brown spots on leaves, Yellow leaves, Rusty orange pustules",Brown Spot,Critical
Maize,"Wilting stems, Black lesions",Leaf Blight,High
Banana,"Yellow leaves, Stunted growth",Panama Disease,Low
Soybean,Root rot,Root Rot,Low
Tomato,"Water-soaked patches, Black lesions",Late Blight,Medium
Banana,"Premature fruit drop, Black lesions, Brown spots on leaves",Black Sigatoka,Low
Tomato,"Yellow leaves, Brown spots on leaves",Early Blight,Low
Cotton,Premature fruit drop,Bacterial Blight,Critical
Soybean,"Root rot, Wilting stems, Stunted growth",Root Rot,High
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,High
Potato,Black lesions,Black Scurf,Medium
Banana,"Yellow leaves, Wilting stems",Panama Disease,Critical
Wheat,"Yellow leaves, White powder on leaves, Black lesions",Powdery Mildew,Medium
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Mango,White powder on leaves,Powdery Mildew,Critical
Soybean,"Stunted growth, Root rot, Wilting stems, Premature fruit drop",Root Rot,Medium
Grapes,"Fruit discoloration, Yellow leaves",Powdery Mildew,High
Soybean,"Root rot, Stunted growth",Root Rot,High
Maize,"Black lesions, Wilting stems",Leaf Blight,Medium
Rice,Black lesions,Blast,Medium
Sugarcane,"Yellow leaves, Stunted growth, Wilting stems",Red Rot,Low
Groundnut,Brown spots on leaves,Leaf Spot,Low
Tomato,Premature fruit drop,Early Blight,Critical
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,High
Groundnut,"Brown spots on leaves, Premature fruit drop, Yellow leaves",Leaf Spot,Medium
Soybean,Yellow leaves,Rust,Critical
Soybean,"Stunted growth, Wilting stems, Root rot",Root Rot,Medium
Potato,"Black lesions, Water-soaked patches, Wilting stems",Late Blight,Low
Tomato,Fruit discoloration,Late Blight,Low
Grapes,"White powder on leaves, Premature fruit drop",Downy Mildew,Medium
Rice,"Wilting stems, Water-soaked patches, Yellow leaves, White powder on leaves",Bacterial Blight,High
Mango,White powder on leaves,Powdery Mildew,Low
Wheat,Yellow leaves,Powdery Mildew,Medium
Banana,"Wilting stems, Water-soaked patches",Panama Disease,Low
Mango,White powder on leaves,Powdery Mildew,High
Rice,"Wilting stems, Water-soaked patches",Bacterial Blight,Critical
Grapes,Premature fruit drop,Downy Mildew,High
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,Low
Potato,Wilting stems,Late Blight,Low
Grapes,Stunted growth,Powdery Mildew,Medium
Soybean,"Root rot, Wilting stems",Root Rot,Critical
Rice,"Stunted growth, Black lesions, Brown spots on leaves",Blast,Low
Maize,"Black lesions, Stunted growth",Leaf Blight,Low
Groundnut,"Yellow leaves, Brown spots on leaves",Leaf Spot,Medium
Wheat,"Yellow leaves, Rusty orange pustules, Fruit discoloration",Leaf Rust,High
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Critical
Rice,"Wilting stems, Yellow leaves",Bacterial Blight,Medium
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Critical
